title,category,price_gbp,rating,availability,url,price_band
Our Shadow Again,Romance,2.48,3,In stock,https://books.toscrape.com/catalogue/book-1/index.html,Budget (£0-10)
The Journey Returns,Classics,6.13,3,In stock,https://books.toscrape.com/catalogue/book-2/index.html,Budget (£0-10)
Bright Light Returns,Food and Drink,2.57,3,In stock,https://books.toscrape.com/catalogue/book-3/index.html,Budget (£0-10)
My Light Falls,Biography,48.75,1,In stock,https://books.toscrape.com/catalogue/book-4/index.html,Premium (£35+)
A Light Again,Young Adult,57.47,3,In stock,https://books.toscrape.com/catalogue/book-5/index.html,Premium (£35+)
Dark World Again,Children,36.61,5,Out of stock,https://books.toscrape.com/catalogue/book-6/index.html,Premium (£35+)
Lost Storm Returns,Horror,5.65,3,In stock,https://books.toscrape.com/catalogue/book-7/index.html,Budget (£0-10)
A Dream Again,Historical Fiction,40.01,4,In stock,https://books.toscrape.com/catalogue/book-8/index.html,Premium (£35+)
Last Storm Returns,Business,38.5,3,In stock,https://books.toscrape.com/catalogue/book-9/index.html,Premium (£35+)
Our Shadow Dies,Science Fiction,36.93,3,In stock,https://books.toscrape.com/catalogue/book-10/index.html,Premium (£35+)
The Dream,Classics,13.96,3,In stock,https://books.toscrape.com/catalogue/book-11/index.html,Mid (£10-20)
Lost Storm Returns,Horror,16.79,3,In stock,https://books.toscrape.com/catalogue/book-12/index.html,Mid (£10-20)
My Promise Forever,Horror,53.19,4,In stock,https://books.toscrape.com/catalogue/book-13/index.html,Premium (£35+)
First Heart Lives,Classics,32.79,4,In stock,https://books.toscrape.com/catalogue/book-14/index.html,Upper-Mid (£20-35)
The Journey Forever,Thriller,31.06,2,In stock,https://books.toscrape.com/catalogue/book-15/index.html,Upper-Mid (£20-35)
Lost Path Speaks,Psychology,36.18,3,In stock,https://books.toscrape.com/catalogue/book-16/index.html,Premium (£35+)
A World Rises,Classics,51.78,1,In stock,https://books.toscrape.com/catalogue/book-17/index.html,Premium (£35+)
Dark Secret Rises,Travel,7.58,3,Out of stock,https://books.toscrape.com/catalogue/book-18/index.html,Budget (£0-10)
One World Returns,Fantasy,30.95,2,In stock,https://books.toscrape.com/catalogue/book-19/index.html,Upper-Mid (£20-35)
Bright Secret Falls,Fantasy,32.82,4,In stock,https://books.toscrape.com/catalogue/book-20/index.html,Upper-Mid (£20-35)
One Dream,Romance,55.81,5,In stock,https://books.toscrape.com/catalogue/book-21/index.html,Premium (£35+)
Dark Journey Speaks,Humor,56.86,2,In stock,https://books.toscrape.com/catalogue/book-22/index.html,Premium (£35+)
My Promise Speaks,Thriller,39.92,5,Out of stock,https://books.toscrape.com/catalogue/book-23/index.html,Premium (£35+)
Our Promise Lives,Psychology,57.89,5,Out of stock,https://books.toscrape.com/catalogue/book-24/index.html,Premium (£35+)
A Dream Returns,Children,26.84,4,In stock,https://books.toscrape.com/catalogue/book-25/index.html,Upper-Mid (£20-35)
Our Secret Again,Mystery,35.7,3,In stock,https://books.toscrape.com/catalogue/book-26/index.html,Premium (£35+)
Last Journey Speaks,Historical Fiction,14.51,5,In stock,https://books.toscrape.com/catalogue/book-27/index.html,Mid (£10-20)
